13360436666	1114	974	1088
13560436666	1116	9654	9770
13561436666	115	9884	9899
13660436666	116	9	25
13760436666	11167	94	1261
13860436666	11136	54	1190
13960436666	22126	984	3110
13360336666	1214	974	10288
13560336666	1216	9654	9870
13561336666	125	9884	9999
13660336666	126	9	299
13760336666	12167	94	1201
13860336666	12136	54	1190
13960336666	24126	984	3110
13360446666	1414	974	1088
13560446666	1416	9654	9770
13561446666	145	9884	9899
13660446666	146	9	25
13760446666	14167	94	1261
13860446666	14136	54	1190
13960446666	24126	984	3110
